from,to,count
BCLAF1,THOC2,10
BCLAF1,RNF10,10
BCLAF1,FGFR1OP2,10
BCLAF1,SRPX2,10
BCLAF1,MLEC,10
BCLAF1,PLEKHA3,10
BCLAF1,EFCAB14,10
BCLAF1,EMP1,10
BCLAF1,B4GALT4,10
BCLAF1,TET1,10
BCLAF1,RBM39,10
BCLAF1,PUM1,10
BCLAF1,CSDE1,10
BCLAF1,UBE2Q1,10
BCLAF1,SYNE1,10
BCLAF1,ORAI2,10
BCLAF1,SUPT3H,10
BCLAF1,MYH10,10
BCLAF1,PNRC2,10
BCLAF1,HNRNPD,10
BCLAF1,TRHDE,10
BCLAF1,SRSF10,10
BCLAF1,ERGIC2,10
BCLAF1,G3BP1,10
BCLAF1,CHSY1,10
BCLAF1,CAND1,10
BCLAF1,SMAD5,10
BCLAF1,UGGT2,10
BCLAF1,LATS2,10
BCLAF1,EDEM3,10
BCLAF1,LAMC1,10
BCLAF1,MEG3,10
BCLAF1,SND1,10
BCLAF1,GOLGB1,10
BCLAF1,BICC1,10
BCLAF1,NCOR1,10
BCLAF1,MEG8,10
BCLAF1,TRAF3IP1,10
BCLAF1,NAA50,10
BCLAF1,SMU1,10
BCLAF1,TRIT1,10
BCLAF1,WDR26,10
BCLAF1,NUDT3,10
BHLHE40,AHDC1,10
BHLHE40,NFATC1,10
BHLHE40,TRIM8,10
BHLHE40,RARA,10
BHLHE40,ZFHX3,10
BHLHE40,HIVEP1,10
BHLHE40,INHBA,10
BHLHE40,FERMT2,10
BHLHE40,SAMD4A,10
BHLHE40,CRTAC1,10
BHLHE40,DPYSL3,10
BHLHE40,NR4A2,10
BHLHE40,DOK4,10
BHLHE40,MIDN,10
BHLHE40,VEGFA,10
BHLHE40,ATP1B1,10
BHLHE40,EGR3,10
BHLHE40,GLIS2,10
BHLHE40,CSNK1E,10
BHLHE40,HEG1,10
BHLHE40,PER2,10
BHLHE40,PTP4A1,10
BHLHE40,MAP7D1,10
BHLHE40,HIVEP2,10
BHLHE40,FHL2,10
BHLHE40,BTG1,10
BHLHE40,INPPL1,10
BHLHE40,YPEL2,10
BHLHE40,ELMSAN1,10
BHLHE40,MNT,10
BHLHE40,LRRC32,10
BHLHE40,UBALD2,10
BHLHE40,CAPN1,10
BHLHE40,CXXC5,10
BHLHE40,ZBTB7A,10
BHLHE40,AZIN1,10
BHLHE40,WDR1,10
BHLHE40,MSX1,10
BHLHE40,MEF2D,10
BHLHE40,ZMIZ1,10
BHLHE40,LLGL2,10
BHLHE40,SOX4,10
BHLHE40,KLF3,10
BHLHE40,KLF6,10
BHLHE40,ERF,10
BHLHE40,HES1,10
BHLHE40,KLF4,10
BHLHE40,SLC25A37,10
BHLHE40,ITGA6,10
BHLHE40,KLF9,10
BHLHE40,MAPK6,10
BHLHE40,BAHCC1,10
BHLHE40,PIEZO2,10
BHLHE40,DYRK2,10
BHLHE40,BHLHE41,10
BHLHE40,BBC3,10
BHLHE40,ADAMTSL3,10
BHLHE40,ACKR3,10
BHLHE40,HIC1,10
BHLHE40,ESRRA,10
BHLHE40,SPTAN1,10
BHLHE40,ING1,10
BHLHE40,PPP1CC,10
BHLHE40,RAP1B,10
BHLHE40,BMP2,10
BHLHE40,LHFPL2,10
BHLHE40,SERPINE2,10
BHLHE40,KDM7A,10
BHLHE40,SERTAD2,10
BHLHE40,CHD4,10
BHLHE40,IGFBP5,10
BHLHE40,MAFG,10
BHLHE40,ZNF827,10
BHLHE40,BCL6,10
BHLHE40,MYO1C,10
BHLHE40,ETS1,10
BHLHE40,CHD1,10
BHLHE40,NFKBIZ,10
BHLHE40,SOCS3,10
BHLHE40,MAP1B,10
BHLHE40,METRNL,10
BHLHE40,MTUS1,10
BHLHE40,ANKH,10
BHLHE40,ZNF503,10
BHLHE40,HDGF,10
BHLHE40,LUZP1,10
BHLHE40,GADD45B,10
BHLHE40,ZBTB21,10
BHLHE40,KLF13,10
BHLHE40,LMNA,10
BHLHE40,DLGAP4,10
BHLHE40,PURA,10
BHLHE40,FMNL1,10
BHLHE40,MAFF,10
BHLHE40,C11orf96,10
BHLHE40,IRF1,10
BHLHE40,ZFAND5,10
BHLHE40,FURIN,10
BHLHE40,RORA,10
BHLHE40,SRGAP2C,10
BHLHE40,TNS1,10
BHLHE40,BTG2,10
BHLHE40,SKIL,10
BHLHE40,PDGFA,10
BHLHE40,ACSL3,10
BHLHE40,CEBPB,10
BHLHE40,SH3GL1,10
BHLHE40,INTS6,10
BHLHE40,SBNO2,10
BHLHE40,HNRNPH1,10
BHLHE40,SULF1,10
BHLHE40,PTHLH,10
BHLHE40,ZCCHC24,10
BHLHE40,NECTIN1,10
BHLHE40,SMAD7,10
BHLHE40,CTNNA1,10
BHLHE40,RFX2,10
BHLHE40,TLK1,10
BHLHE40,PLK3,10
BHLHE40,SLC38A2,10
BHLHE40,PIM1,10
BHLHE40,ATF3,10
BHLHE40,NCOR2,10
BHLHE40,RBP4,10
BHLHE40,SLC4A2,10
BHLHE40,MAFK,10
BHLHE40,SYNPO,10
BHLHE40,TRABD,10
BHLHE40,ACYP1,10
BHLHE40,PIEZO1,10
BHLHE40,PHLDB2,10
BHLHE40,WEE1,10
BHLHE40,RNF19B,10
BHLHE40,KIF1C,10
BHLHE40,BMP1,10
BHLHE40,WAC,10
BHLHE40,KRAS,10
BHLHE40,GLIS3,10
BHLHE40,HDAC7,10
BHLHE40,SLC30A1,10
BHLHE40,PI4KB,10
BHLHE40,STK38L,10
BHLHE40,NR4A1,10
BHLHE40,ERRFI1,10
BHLHE40,NFKBIA,10
BHLHE40,ANKRD9,10
BHLHE40,ICMT,10
BHLHE40,SNTB2,10
BHLHE40,FOXC1,10
BHLHE40,UAP1,10
BHLHE40,KLF2,10
BHLHE40,RHEB,10
BHLHE40,PKDCC,10
BHLHE40,BAG3,10
BHLHE40,AKT1,10
BHLHE40,PLXNA1,10
BHLHE40,PABPC4,10
BHLHE40,PRR5L,10
BHLHE40,WWC3,10
BHLHE40,CASP3,10
BHLHE40,GNB1,10
BHLHE40,VASN,10
BHLHE40,CD9,10
BHLHE40,DUSP5,10
BHLHE40,VIM,10
BHLHE40,DUSP1,10
BHLHE40,OAF,10
BHLHE40,KLC1,10
BHLHE40,RAI14,10
BHLHE40,HIPK1,10
BHLHE40,TTC9,10
BHLHE40,CUEDC1,10
BHLHE40,PPP3CA,10
BHLHE40,AKAP13,10
BHLHE40,MID1IP1,10
BHLHE40,NRP2,10
BHLHE40,MAP3K8,10
BHLHE40,PLEKHF1,10
BHLHE40,CAMK2N1,10
BHLHE40,PHLDA2,10
BHLHE40,ZFP36,10
BHLHE40,PIM3,10
BHLHE40,OPTN,10
BHLHE40,PLEC,10
BHLHE40,TNFSF9,10
BHLHE40,PTGFRN,10
BHLHE40,CPEB2,10
BHLHE40,TUBB2B,10
BHLHE40,WNK1,10
BHLHE40,PRRC1,10
BHLHE40,GRK5,10
BHLHE40,FAM167A,10
BHLHE40,PHLDB1,10
BHLHE40,PSD3,10
BHLHE40,MBNL1,10
BHLHE40,KIF1B,10
BHLHE40,CRABP2,10
BHLHE40,ROCK1,10
BHLHE40,MYADM,10
BHLHE40,RB1CC1,10
BHLHE40,GPRC5A,10
BHLHE40,NDRG1,10
BHLHE40,EGR2,10
BHLHE40,BCAR1,10
BHLHE40,HTRA3,10
BHLHE40,TJP1,10
BHLHE40,BMPR2,10
BHLHE40,RAB22A,10
BHLHE40,GADD45G,10
BHLHE40,SPSB1,10
BHLHE40,PDGFRB,10
BHLHE40,UGCG,10
BHLHE40,ABHD2,10
BHLHE40,NAV1,10
BHLHE40,AXL,10
BHLHE40,ANPEP,10
BHLHE40,CDKN1A,10
BHLHE40,NUDT4,10
BHLHE40,DDX3X,10
BHLHE40,ARHGEF2,10
BHLHE40,JUNB,10
BHLHE40,EZR,10
BHLHE40,LOXL2,10
BHLHE40,ARID1A,10
BHLHE40,TRIB1,10
BHLHE40,LRRFIP1,10
BHLHE40,TIMP3,10
BHLHE40,MFGE8,10
BHLHE40,CAPN2,10
BHLHE40,RASSF5,10
BHLHE40,KLF5,10
BHLHE40,SIX4,10
BHLHE40,MYC,10
BHLHE40,NAB1,10
BHLHE40,MIR22HG,10
BHLHE40,NUFIP2,10
BHLHE40,NR1D1,10
BHLHE40,ATP1A1,10
BHLHE40,PABPC1,10
BHLHE40,PKM,10
BHLHE40,EFHD2,10
BHLHE40,BHLHE40,10
BHLHE40,PPP1CB,10
BHLHE40,KLF7,10
BHLHE40,SYNJ2,10
BHLHE40,BTG3,10
BHLHE40,GFPT2,10
BHLHE40,CBX6,10
BHLHE40,KLF10,10
BHLHE40,BRD2,10
BHLHE40,PDLIM5,10
BHLHE40,CXCL2,10
BHLHE40,RNF145,10
BHLHE40,TOB1,10
BHLHE40,NECTIN2,10
BHLHE40,HUNK,10
BHLHE40,SIPA1L1,10
BHLHE40,CTNNB1,10
BHLHE40,DDX5,10
BHLHE40,RHBDF1,10
BHLHE40,UGP2,10
BHLHE40,CAV2,10
BHLHE40,ABI1,10
BHLHE40,IRF2BPL,10
BHLHE40,MGLL,10
BHLHE40,UBE2Q2,10
BHLHE40,SGK1,10
BHLHE40,TSC22D2,10
BHLHE40,BCR,10
BHLHE40,FN1,10
BHLHE40,HRAS,10
BHLHE40,UBC,10
BHLHE40,KTN1,10
BHLHE40,TNKS1BP1,10
BHLHE40,FZD7,10
BHLHE40,HNRNPUL1,10
BHLHE40,ICAM1,10
BHLHE40,MLXIP,10
BHLHE40,CSK,10
BHLHE40,MAP2K3,10
BHLHE40,FAM129B,10
BHLHE40,CDKN2D,10
BHLHE40,SPEN,10
BHLHE40,PRELP,10
BHLHE40,RHOB,10
BHLHE40,B3GNT2,10
BHLHE40,LASP1,10
BHLHE40,TPBG,10
BHLHE40,GDF11,10
BHLHE40,PFKFB3,10
BHLHE40,GEM,10
BHLHE40,RABGEF1,10
BHLHE40,LRRFIP2,10
BHLHE40,ADAMTS1,10
BHLHE40,GJB2,10
BHLHE40,ADAMTS4,10
BHLHE40,IER5L,10
BHLHE40,ADAM17,10
BHLHE40,NFATC2,10
BHLHE40,PPP1R9B,10
BHLHE40,AMOTL1,10
BHLHE40,RGS16,10
BHLHE40,SLC35E4,10
BHLHE40,ARPC1B,10
BHLHE40,PALM2,10
BHLHE40,PTGIS,10
BHLHE40,TAOK1,10
BHLHE40,NEDD9,10
BHLHE40,GAS2L1,10
BHLHE40,NEAT1,10
BHLHE40,CD44,10
BHLHE40,EML1,10
BHLHE40,HSPA8,10
BHLHE40,EHD2,10
BHLHE40,SLC12A4,10
BHLHE40,RAPH1,10
BHLHE40,UGDH,10
BHLHE40,SLC20A1,10
BHLHE40,SDC4,10
BHLHE40,HSPB1,10
BHLHE40,HRH1,10
BHLHE40,RPS6KA4,10
BHLHE40,CLIC4,10
BHLHE40,CHST6,10
BHLHE40,PTP4A2,10
BHLHE40,REL,10
BHLHE40,EWSR1,10
BHLHE40,EHD1,10
BHLHE40,ZC3H12A,10
BHLHE40,AKIRIN1,10
BHLHE40,ITPRIP,10
BHLHE40,FZD1,10
BHLHE40,THBS1,10
BHLHE40,TUBA1C,10
BHLHE40,MCL1,10
BHLHE40,TSKU,10
BHLHE40,ANGPTL2,10
BHLHE40,AMD1,10
BHLHE40,CEBPG,10
BHLHE40,RNF24,10
BHLHE40,PDE4DIP,10
BHLHE40,LRRC8A,10
BHLHE40,EMP1,10
BHLHE40,HAS1,10
BHLHE40,SERPINE1,10
BHLHE40,GAB1,10
BHLHE40,A4GALT,10
BHLHE40,ITGA5,10
BHLHE40,TOR1AIP2,10
BHLHE40,RTN4,10
BHLHE40,FAM214B,10
BHLHE40,LTBP2,10
BHLHE40,PPTC7,10
BHLHE40,WDR26,10
BHLHE40,ZP3,10
BHLHE40,PXN,10
BHLHE40,CBFB,10
BRF2,CERS2,10
BRF2,PTCH1,10
CEBPB,SATB1,10
CEBPB,NFIL3,10
CEBPB,TRIM8,10
CEBPB,ZFHX3,10
CEBPB,TFAP2C,10
CEBPB,FOXO3,10
CEBPB,INHBA,10
CEBPB,SAMD4A,10
CEBPB,NR4A3,10
CEBPB,RASSF8,10
CEBPB,LMO4,10
CEBPB,NR4A2,10
CEBPB,MIDN,10
CEBPB,EGR3,10
CEBPB,EPAS1,10
CEBPB,TBX2,10
CEBPB,TRPS1,10
CEBPB,SP3,10
CEBPB,RNF10,10
CEBPB,FOS,10
CEBPB,YAP1,10
CEBPB,MAP7D1,10
CEBPB,DEK,10
CEBPB,ANP32B,10
CEBPB,PDE4D,10
