,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CHST12,0.018984938347419,-0.060916301112255,0.396,0.332,1
TMEM9,0.019200299649034,-0.156937300065361,0.42,0.394,1
FAM172A,0.019236892124068,-0.111346422941934,0.222,0.229,1
ZNF706,0.019789401073964,-0.001400114467994,0.687,0.595,1
GABARAPL1,0.01991971338412,-0.024619963979688,0.456,0.393,1
HNRNPK,0.019974779438125,-0.065340948944327,0.825,0.78,1
FGFR1OP2,0.020274716065998,-0.117529839630508,0.34,0.33,1
GLUD1,0.020351186457069,-0.1206087193873,0.519,0.474,1
LRP10,0.020450835430681,-0.11495274434621,0.599,0.545,1
GNAI1,0.020459221624562,-0.056091298836668,0.222,0.189,1
ZYG11B,0.020477799951843,-0.039921714386013,0.22,0.188,1
USP53,0.020656453487653,-0.122561646209019,0.233,0.239,1
KCMF1,0.020709256335286,-0.044039094110146,0.282,0.241,1
EPM2AIP1,0.020923296336754,-0.13280118749693,0.243,0.245,1
CSNK1G2,0.020927974596122,-0.048262739451916,0.289,0.249,1
PMPCB,0.020971874345115,-0.064247513277314,0.322,0.271,1
GNAI2,0.021187607508548,-0.08869081448858,0.701,0.666,1
BMPR2,0.021201727392502,-0.051787289949792,0.326,0.28,1
BAG5,0.021324283976183,-0.105944359191308,0.225,0.228,1
MOCS2,0.021609763301212,-0.152497985762167,0.31,0.301,1
PPP1R7,0.021649692468394,-0.035782158011644,0.386,0.328,1
TCAF1,0.021674637260451,-0.077838071789701,0.312,0.265,1
ATXN7L3B,0.021766436586495,-0.103905567901359,0.263,0.263,1
SUMF1,0.02187387129932,-0.029090255797749,0.205,0.177,1
DOCK1,0.022029476486172,-0.119925592329732,0.259,0.259,1
PPP1R12A,0.022229458110643,-0.135023403631936,0.488,0.456,1
TTC3,0.022284578143341,-0.110887145841693,0.755,0.739,1
IDS,0.022373022511069,-0.132702502927411,0.459,0.427,1
CCNL2,0.022754531044123,-0.138129836499944,0.367,0.354,1
SF3B3,0.022804874450414,-0.043844012317182,0.202,0.171,1
MSX1,0.022818384995949,-0.181923755070394,0.317,0.309,1
HABP4,0.022837271411724,-0.04173161352107,0.241,0.206,1
EIF3E,0.02297088435116,0.029949794758587,0.795,0.737,1
RAB8B,0.023077671808379,-0.039443324042219,0.218,0.186,1
DICER1,0.023099953092452,-0.152716309167813,0.307,0.298,1
CBLB,0.02317974369745,-0.098539342710874,0.238,0.242,1
ZNF688,0.023386926862352,-0.031804163880786,0.21,0.18,1
AKR1A1,0.023396858348188,-0.034866118824894,0.635,0.553,1
PRRC2A,0.023683417655834,-0.040159354219352,0.301,0.261,1
EXOC7,0.0237299753091,-0.112260837299205,0.308,0.303,1
LAMC1,0.023739014227547,-0.135097503959275,0.629,0.588,1
PPDPF,0.023757111775544,-0.033902908681336,0.832,0.806,1
CEP57,0.023907566138914,-0.115252017269161,0.286,0.282,1
FAM92A,0.024041300277025,-0.058561024882887,0.333,0.283,1
ABHD17A,0.02413201656304,-0.107743259106225,0.383,0.368,1
EXOSC8,0.024186075767132,-0.041642282301894,0.278,0.238,1
PRPF38B,0.024420951987591,-0.042279373929863,0.474,0.404,1
SF3B4,0.024617075108035,-0.044675290640137,0.262,0.226,1
SLCO3A1,0.024652743795298,-0.105629820764065,0.289,0.289,1
OSTF1,0.024704331189556,-0.054427865860981,0.258,0.22,1
NUDC,0.024743577467891,-0.002645519818307,0.626,0.55,1
RPL18,0.024887902781479,0.021048986250711,0.965,0.967,1
POLR2B,0.025074053437238,-0.025697495400358,0.336,0.29,1
DDX27,0.025208760186277,-0.100011996473617,0.26,0.261,1
SUGP2,0.025246821202145,-0.039650904911527,0.285,0.247,1
METRN,0.025255806232572,-0.016891009829511,0.358,0.313,1
CCDC47,0.025339048293265,-0.040634335189809,0.437,0.375,1
KHDRBS1,0.025354242103717,-0.036239096285307,0.566,0.486,1
SSB,0.025354397816636,-0.003008651905384,0.685,0.606,1
ARMCX6,0.025420088788314,-0.068581400197298,0.27,0.228,1
METTL23,0.025458382195101,-0.036814521291756,0.286,0.244,1
USP5,0.025480675343048,-0.051386517488934,0.209,0.178,1
CDYL,0.025505117674456,-0.038007055647204,0.201,0.173,1
GBP2,0.025551675171561,-0.01170651900975,0.325,0.285,1
CCDC90B,0.025557856873864,-0.056446897728168,0.369,0.312,1
BCAP29,0.02586620127362,-0.026169994020132,0.487,0.415,1
ASAP2,0.025869743344442,-0.128041581810674,0.24,0.243,1
CHD8,0.026060960307056,-0.096026768093211,0.212,0.217,1
ZFC3H1,0.026174157429206,-0.035018879361608,0.262,0.226,1
CDC42BPB,0.02622979054241,-0.066368929367223,0.265,0.226,1
TUBB,0.026674909899202,0.061517745320758,0.869,0.827,1
SORBS3,0.026703948629262,-0.135658958051373,0.409,0.385,1
PLXDC1,0.027042170555287,-0.180166662432848,0.552,0.513,1
ZNHIT6,0.027110946238539,-0.115229011884044,0.199,0.205,1
ARID1A,0.027142626503471,-0.060868178892603,0.288,0.247,1
DDX46,0.027362798522755,-0.048785993161866,0.603,0.514,1
ERP29,0.027553377294145,-0.094090244616814,0.691,0.627,1
TMEM126B,0.027643075068871,-0.046603561798668,0.399,0.344,1
VPS51,0.027701700802351,-0.049254877496678,0.383,0.328,1
CSTB,0.027729074681735,-0.05979173925883,0.777,0.733,1
RBBP7,0.027750318552068,-0.114245344701966,0.409,0.388,1
KCNE4,0.027759712135181,-0.171598211788078,0.229,0.234,1
PURB,0.027777505154125,-0.033897558783578,0.223,0.192,1
MSL1,0.027949941923139,-0.064945267072794,0.33,0.283,1
MBNL2,0.027983292653769,-0.059032943382652,0.336,0.285,1
PIGP,0.027987776731216,-0.100132093401835,0.268,0.268,1
ARMCX3,0.028006141129315,-0.036863791267175,0.539,0.459,1
SFSWAP,0.02814507858026,-0.101650641426112,0.274,0.272,1
WASHC3,0.028594059590416,-0.131222495399361,0.433,0.404,1
ITSN1,0.028614446908746,-0.175329625038469,0.284,0.279,1
HOOK3,0.028711631826121,-0.133314604676244,0.464,0.433,1
SDF2,0.028758599990135,-0.044744124968315,0.431,0.367,1
ARHGEF40,0.028763826213358,-0.047814992401623,0.256,0.221,1
RAB9A,0.028786852161858,-0.054419476893998,0.342,0.292,1
BLCAP,0.029000221059898,-0.044408795830029,0.217,0.187,1
NEMF,0.029008915655798,-0.068631942325329,0.407,0.345,1
PLD3,0.02920921094095,-0.118580212873163,0.671,0.618,1
FKBP9,0.029244335984696,-0.018076435432695,0.611,0.543,1
WDR11,0.029372806647588,-0.033581105203179,0.204,0.176,1
RBCK1,0.029429060913914,-0.060477395757976,0.416,0.356,1
DOCK7,0.029594568536741,-0.05336059990254,0.247,0.212,1
PITHD1,0.029652113554571,-0.03802653393866,0.377,0.325,1
CHPT1,0.029663734558574,-0.104701974936176,0.405,0.385,1
ABI2,0.02969989792138,-0.128415854563629,0.326,0.319,1
DDX19B,0.029841784466794,-0.021600748562939,0.201,0.174,1
BCAP31,0.029937278766466,-0.016531756935724,0.598,0.515,1
BIRC2,0.030167156633963,-0.064509355194936,0.34,0.29,1
PPP2R2A,0.030659314425421,-0.060265615558388,0.319,0.272,1
GLS,0.030775637365682,-0.019103500562416,0.417,0.362,1
IWS1,0.030784829954092,-0.047799961895685,0.298,0.256,1
TMBIM6,0.030879408723112,0.021610037236032,0.843,0.763,1
C19orf12,0.030916347806537,-0.054251081290399,0.229,0.197,1
HNRNPF,0.031091274339593,-0.015942236434763,0.608,0.525,1
TCF25,0.031248358481086,-0.015978241554027,0.703,0.606,1
NFE2L2,0.031395301147176,-0.023769272279786,0.595,0.512,1
LTN1,0.031404887503858,-0.097057749022959,0.219,0.223,1
UFL1,0.031431309191509,-0.062980905770475,0.363,0.31,1
SPPL2A,0.0316167969321,-0.058109745993781,0.528,0.448,1
USP7,0.031627074100803,-0.116335554810828,0.288,0.285,1
PAXX,0.031650721919801,-0.124285331806879,0.306,0.298,1
FAM162A,0.031994186141402,-0.024394702374183,0.507,0.439,1
CNPY4,0.032089362017001,-0.132792974397092,0.309,0.299,1
TPCN1,0.032241215699059,-0.038496772226087,0.214,0.185,1
ATN1,0.032340157402561,-0.116063177493353,0.278,0.275,1
PPA1,0.032473911265744,-0.106400151877151,0.674,0.629,1
SDAD1,0.032702948897067,-0.03544410708859,0.232,0.201,1
GLUL,0.032752397836826,0.074321723330673,0.63,0.56,1
ZFAND5,0.032896020539666,-0.039230375635583,0.56,0.482,1
SART1,0.033132843209802,-0.046438187612112,0.217,0.186,1
DCAF7,0.033313631246376,-0.052843465178055,0.268,0.231,1
DNAJC19,0.033353934549801,-0.116059783820563,0.405,0.385,1
EIF3K,0.033650385412099,-0.055306345167503,0.81,0.766,1
ZBTB10,0.034011045464222,-0.043200793988745,0.209,0.18,1
HP1BP3,0.034435620540605,-0.106591709390415,0.647,0.589,1
CLSTN1,0.034633948892787,-0.064761546868222,0.434,0.371,1
TRIQK,0.034716307627012,-0.054828822347684,0.21,0.179,1
MYO6,0.034858647894054,-0.09781335434611,0.234,0.237,1
BEX4,0.034908721330903,-0.1145490748278,0.285,0.282,1
